Flipped journal;control journal;discipline
ALTEX: Alternatives to Animal Experimentation;ANtiviral Chemistry and Chemotherapy;PHAR
ALTEX: Alternatives to Animal Experimentation;Aids Reviews;MEDI
ALTEX: Alternatives to Animal Experimentation;Evaluation and the Health Professions;HEAL
Abstract and Applied Analysis;Theory of Probability and its Applications;MATH
Acta Biologica Cracoviensia Series Botanica;Journal of the Lepidopterists' Society;AGRI
Acta Botanica Croatica;Israel Journal of Ecology and Evolution;AGRI
Acta Clinica Croatica;Current Anaesthesia and Critical Care;MEDI
Acta Crystallographica Section E;ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY;BIOC
Acta Crystallographica Section E;Applied Physics A: Materials Science and Processing;PHYS
Acta Crystallographica Section E;Galvanotechnik;MATE
Acta Crystallographica Section E;Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences;CHEM
Acta Dermato-Venereologica;Violence against Women;MEDI
Acta Geodaetica et Cartographica Sinica;Acta Geologica Sinica;EART
Acta Medica Indonesiana;CLINICAL NURSE SPECIALIST;MEDI
Acta Metallurgica Slovaca;High Temperature Material Processes;MATE
Acta M‚dica Portuguesa;JOURNAL OF COMMUNICABLE DISEASES;MEDI
Acta Orthopaedica;American Journal of Dermatopathology;MEDI
Acta Pharmaceutica;ANtiviral Chemistry and Chemotherapy;MEDI
Acta Pharmaceutica;ANtiviral Chemistry and Chemotherapy;PHAR
Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis;Archives of Phytopathology and Plant Protection;AGRI
Acta Universitatis Carolinae Geographica;Fossils;EART
Acta Universitatis Carolinae Geographica;Psychology and Education;SOCI
Acta Veterinaria Scandinavica;JOURNAL OF INVESTIGATIVE MEDICINE;MEDI
Acta Veterinaria Scandinavica;Journal of Camel Practice and Research;VETE
Acta Zoologica Academiae Scientiarum Hungaricae;Journal of The American Society of Brewing Chemists;AGRI
Advances in Horticultural Science;Chemical Speciation and Bioavailability;BIOC
Advances in Horticultural Science;Nutrition and Food Science;AGRI
Advances in Horticultural Science;Vacunas;IMMU
Advances in Rehabilitation;Hematologie;MEDI
Advances in Rehabilitation;Revue du Podologue;HEAL
African Diaspora;Debatte;ARTS
African Diaspora;Disaster Prevention and Management;SOCI
Aging Cell;MEDICAL EDUCATION;MEDI
Aging Cell;Molecular plant-microbe interactions;BIOC
Agricultural Economics (AGRICECON);Journal of Socio-Economics;ECON
Agricultural Economics (AGRICECON);SOil Science;AGRI
Al-Qantara;Journal of Pacific History;ARTS
Al-Qantara;Journal of Pacific History;SOCI
Alexandria Engineering Journal;Cleanroom Technology;ENGI
Allergy, Asthma and Clinical Immunology;Neuropsychopharmacologia Hungarica;MEDI
Allergy, Asthma and Clinical Immunology;Vacunas;IMMU
Anais Brasileiros de Dermatologia;Voprosy Virusologii;MEDI
Angle Orthodontist;Journal of Pediatric orthopaedics;MEDI
Angle Orthodontist;Journal of the American Dental Association;DENT
Annali dell'Istituto Superiore di Sanit…;Aktuelle Traumatologie;MEDI
Annals of Saudi Medicine;Journal of Pediatric Ophthalmology and Strabismus;MEDI
Antarctic Record;Civil engineering;EART
Antarctic Record;Civil engineering;ENVI
Antarctic Record;Journal of Camel Practice and Research;AGRI
Anuario de Estudios Medievales;Forum Italicum;ARTS
An lise Social ;Journal of Rural Development;SOCI
Applied Sciences;Interaction Studies;COMP
Applied Sciences;International Journal of Aviation Psychology;ENGI
Applied Sciences;Journal of Plastic Film and Sheeting;MATE
Applied Sciences;Journal of Plastic Film and Sheeting;PHYS
Applied Sciences;Nonlinear Dynamics, Psychology, and Life Sciences;MATH
Applied Sciences;Synthesis Lectures on Biomedical Engineering;CENG
Arbor;Appropriate Technology;SOCI
Arbor;Fontes Artis Musicae;ARTS
Archives of Civil Engineering;Lowland Technology International;ENGI
Archives of Electrical Engineering;Synthesis Lectures on Biomedical Engineering;ENGI
Archives of Environmental Protection;Chemical Speciation and Bioavailability;ENVI
Archives of Metallurgy and Materials;Combustion, Explosion and Shock Waves;MATE
Archives of Thermodynamics;Solid mechanics and its applications;PHYS
Archivio Italiano di Urologia e Andrologia;Pathologica;MEDI
Archivo Espanol de Arte;Fontes Artis Musicae;ARTS
Archivos de Cardiolog¡a de M‚xico;Cosmetic Dermatology;MEDI
Arhiv za Higijenu Rada i Toksikologiju;Psychopharmakotherapie;MEDI
Arhiv za Higijenu Rada i Toksikologiju;Psychopharmakotherapie;PHAR
Asclepio;Alcoholism;MEDI
Asclepio;Asian philosophy;ARTS
Asian Development Review;Canadian Journal of Law and Society;SOCI
Asian Journal of Pharmaceutical Sciences;Pharmaceuticals Policy and Law;PHAR
Atenci¢n Primaria;STRENGTH AND CONDITIONING JOURNAL;MEDI
Australian Educational Computing;Forum For Modern Language Studies;SOCI
Australian Educational Computing;Interaction Studies;COMP
Autex Research Journal;Solid Mechanics And Its Applications;MATE
BMJ;European Journal of Surgical Oncology;MEDI
BMJ;International Journal of STD and AIDS;AGRI
Balkan Journal of Medical Genetics;Alcoholism;MEDI
Balkan Journal of Medical Genetics;Indian Journal of Agricultural Biochemistry;BIOC
Bijdragen tot de Taal-, Land- en Volkenkunde;Mind and Society;ARTS
Bijdragen tot de Taal-, Land- en Volkenkunde;Mind and Society;SOCI
Bijdragen tot de Taal-, Land- en Volkenkunde ;Bijdragen tot de Taal-, Land- en Volkenkunde;ARTS
Bijdragen tot de Taal-, Land- en Volkenkunde ;Bijdragen tot de Taal-, Land- en Volkenkunde;SOCI
BioMedicine;Option/Bio;BIOC
BioMedicine;Option/Bio;MEDI
BioTechnologia;IRBM News;BIOC
BioTechnologia;Indian Journal of Agricultural Biochemistry;AGRI
Biological Procedures Online;Chemical Speciation and Bioavailability;BIOC
Biological Research;Comparative Medicine;BIOC
Biological Research;Health Care For Women International;MEDI
Biological Research;Undersea and Hyperbaric Medicine;AGRI
Bioscience Reports;OMICS A Journal of Integrative Biology;BIOC
Bioscience Reports;OMICS A Journal of Integrative Biology;MEDI
Brazilian Dental Journal;Current Anaesthesia and Critical Care;MEDI
Brazilian Dental Journal;Revue de Stomatologie et de Chirurgie Maxillo-faciale;DENT
Brazilian Journal of Anesthesiology;Nigerian Journal of Clinical Practice;MEDI
Brodogradnja;Concrete;ENGI
Bulletin of Geography: Socio-Economic Series;Psychology and Education;SOCI
Bulletin of the American Society of Papyrologists;Asia Pacific Journal on Human Rights and the Law;SOCI
Bulletin of the American Society of Papyrologists;NINETEENTH-CENTURY LITERATURE;ARTS
Bulletin of the Chemical Society of Ethiopia;Journal of Elementology;CHEM
Cahiers Victoriens et Edouardiens;Acta Antiqua Academiae Scientiarum Hungaricae;SOCI
Cahiers Victoriens et Edouardiens;Bronte Studies;ARTS
Canadian Journal of Sociology;TOPICS IN Language Disorders;SOCI
Caravelle;Acta Antiqua Academiae Scientiarum Hungaricae;SOCI
Caravelle;Comparative American Studies;ARTS
Cellular & Molecular Biology Letters ;Canadian Journal on Aging;BIOC
Cellular Physiology and Biochemistry;REPRODUCTION;BIOC
